Age,Turnover,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33,Yes,No,241,Hardware,16,3,Technical Degree,1,3505,1,Female,67,3,3,Manufacturing Director,1,Married,36809.0,294472.0,1,Y,Yes,18,1,1,80,4,35,4,4,13,2,8,11
35,Yes,No,679,Support,7,2,Life Sciences,1,1129,3,Male,122,2,5,Research Director,2,Single,1690.0,32110.0,6,Y,Yes,5,4,1,80,1,5,1,1,4,3,3,4
27,Yes,Yes,359,Hardware,50,1,Life Sciences,1,6305,4,Female,199,1,1,Sales Representative,3,Single,50883.0,865011.0,8,Y,Yes,7,2,4,80,4,10,4,2,4,2,4,2
44,No,Yes,1133,Software,12,5,Life Sciences,1,4595,2,Female,150,2,4,Research Director,3,Divorced,11166.0,89328.0,5,Y,No,34,3,4,80,3,19,4,1,14,7,12,2
56,No,Yes,118,Software,43,2,Human Resources,1,7203,2,Female,115,3,1,Developer,2,Married,42537.0,1063425.0,6,Y,Yes,49,2,2,80,1,3,3,4,1,1,1,1
34,Yes,Yes,1073,Human Resources,11,4,Other,1,4319,3,Female,122,2,1,Laboratory Technician,2,Divorced,19182.0,211002.0,7,Y,Yes,32,2,1,80,3,12,6,1,10,9,9,7
59,No,Yes,1265,Sales,40,5,Technical Degree,1,7888,2,Female,64,3,4,Human Resources,4,Single,22423.0,224230.0,7,Y,No,24,1,2,80,1,30,4,2,10,6,9,3
28,No,Yes,1468,Research & Development,24,4,Human Resources,1,622,1,Male,59,3,4,Healthcare Representative,2,Married,4929.0,69006.0,6,Y,No,28,2,2,80,3,19,3,2,9,1,1,8
34,No,Yes,511,Software,43,3,Human Resources,1,5017,2,Male,138,2,3,Research Scientist,1,Married,44491.0,622874.0,0,Y,Yes,7,3,1,80,2,40,5,2,18,10,13,12
26,No,No,604,Support,45,1,Other,1,5550,1,Female,79,3,2,Manufacturing Director,4,Married,44253.0,1194831.0,0,Y,No,31,3,3,80,1,31,1,1,28,21,21,3
42,No,Yes,326,Hardware,17,1,Life Sciences,1,249,4,Male,105,3,1,Laboratory Technician,4,Divorced,44010.0,704160.0,6,Y,Yes,5,3,4,80,3,22,3,4,9,5,6,6
22,Yes,Yes,449,Support,10,1,Life Sciences,1,1735,3,Male,100,2,1,Developer,1,Married,49201.0,1328427.0,7,Y,No,8,2,3,80,1,4,1,3,2,2,2,1
53,Yes,Yes,588,Research & Development,27,4,Human Resources,1,7199,1,Male,33,1,4,Manager,1,Married,48776.0,1268176.0,4,Y,No,31,4,1,80,2,10,4,4,8,4,2,2
51,Yes,Yes,1345,Human Resources,13,1,Life Sciences,1,831,1,Female,169,3,5,Research Scientist,1,Divorced,27724.0,609928.0,1,Y,No,23,3,4,80,2,19,3,3,18,1,3,16
19,Yes,Yes,894,Support,24,4,Medical,1,8923,2,Male,42,4,3,Sales Executive,2,Single,38922.0,505986.0,0,Y,No,49,3,2,80,2,10,2,2,6,4,4,2
32,No,No,379,Sales,21,1,Human Resources,1,9915,1,Female,55,4,1,Healthcare Representative,3,Single,3457.0,31113.0,4,Y,Yes,27,3,4,80,3,33,5,4,27,11,22,11
35,Yes,No,117,Human Resources,15,5,Human Resources,1,5607,2,Male,107,4,3,Manager,4,Single,3988.0,43868.0,0,Y,Yes,29,3,3,80,3,19,5,2,15,6,1,1
38,No,Yes,1146,Software,44,1,Technical Degree,1,7414,1,Male,149,1,3,Healthcare Representative,2,Divorced,10533.0,263325.0,1,Y,No,43,4,3,80,4,12,5,1,6,3,3,6
47,Yes,Yes,1177,Human Resources,49,2,Marketing,1,8565,1,Female,102,3,3,Human Resources,3,Married,24288.0,558624.0,1,Y,Yes,25,3,1,80,1,1,4,3,1,1,1,1
